Sec,Ah,V,A,S,D
58.39,13.0,63.77,0.0,0.0,0.0
58.6,17.0,65.77,0.0,0.0,0.0
58.82,17.0,66.77,0.0,0.0,0.0
59.02,12.0,65.77,0.0,0.0,0.0
59.24,14.0,62.77,0.0,0.0,0.0
59.45,17.0,60.77,0.0,0.0,0.0
59.66,6.0,62.77,0.0,0.0,0.0
59.87,19.0,63.77,0.0,0.0,0.0
60.09,21.0,62.77,0.0,0.0,0.0
60.29,5.0,58.77,0.0,0.0,0.0
60.51,19.0,65.77,0.0,0.0,0.0
60.72,18.0,58.77,0.0,0.0,0.0
60.94,16.0,60.77,0.0,0.0,0.0
61.16,18.0,66.77,0.0,0.0,0.0
61.37,15.0,62.77,0.0,0.0,0.0
61.59,19.0,59.77,0.0,0.0,0.0
61.81,13.0,60.77,0.0,0.0,0.0
62.02,12.0,63.77,0.0,0.0,0.0
62.24,13.0,65.77,0.0,0.0,0.0
62.46,12.0,63.77,0.0,0.0,0.0
62.67,8.0,63.77,0.0,0.0,0.0
62.87,6.0,60.77,0.0,0.0,0.0
63.09,12.0,62.77,0.0,0.0,0.0
63.29,13.0,58.77,0.0,0.0,0.0
63.5,7.0,66.77,0.0,0.0,0.0
63.72,16.0,59.77,0.0,0.0,0.0
63.93,6.0,64.77,0.0,0.0,0.0
64.14,18.0,63.77,0.0,0.0,0.0
64.36,17.0,60.77,0.0,0.0,0.0
64.57,21.0,66.77,0.0,0.0,0.0
64.79,7.0,63.77,0.0,0.0,0.0
65.01,11.0,58.77,0.0,0.0,0.0
65.22,21.0,66.77,0.0,0.0,0.0
65.43,8.0,67.77,0.0,0.0,0.0
65.64,15.0,61.77,0.0,0.0,0.0
65.86,6.0,68.77,0.0,0.0,0.0
66.07,15.0,62.77,0.0,0.0,0.0
66.27,8.0,66.77,0.0,0.0,0.0
66.48,8.0,61.77,0.0,0.0,0.0
66.69,6.0,66.77,0.0,0.0,0.0
66.89,7.0,64.77,0.0,0.0,0.0
67.11,12.0,59.77,0.0,0.0,0.0
67.32,20.0,59.77,0.0,0.0,0.0
67.54,12.0,58.77,0.0,0.0,0.0
67.74,8.0,68.77,0.0,0.0,0.0
67.96,14.0,64.77,0.0,0.0,0.0
68.17,16.0,59.77,0.0,0.0,0.0
68.37,19.0,65.77,0.0,0.0,0.0
68.59,17.0,61.77,0.0,0.0,0.0
68.8,10.0,66.77,0.0,0.0,0.0
69.02,19.0,58.77,0.0,0.0,0.0
69.23,9.0,64.77,0.0,0.0,0.0
69.44,6.0,61.77,0.0,0.0,0.0
69.65,18.0,67.77,0.0,0.0,0.0
69.86,12.0,63.77,0.0,0.0,0.0
70.08,9.0,58.77,0.0,0.0,0.0
70.29,18.0,62.77,0.0,0.0,0.0
70.5,11.0,66.77,0.0,0.0,0.0
70.7,14.0,65.77,0.0,0.0,0.0
70.91,5.0,64.77,0.0,0.0,0.0
71.12,11.0,58.77,0.0,0.0,0.0
71.33,13.0,61.77,0.0,0.0,0.0
71.53,17.0,58.77,0.0,0.0,0.0
71.74,13.0,64.77,0.0,0.0,0.0
71.95,17.0,63.77,0.0,0.0,0.0
72.15,17.0,60.77,0.0,0.0,0.0
72.36,13.0,58.77,0.0,0.0,0.0
72.57,5.0,68.77,0.0,0.0,0.0
72.78,9.0,62.77,0.0,0.0,0.0
72.99,19.0,66.77,0.0,0.0,0.0
73.2,12.0,61.77,0.0,0.0,0.0
73.4,8.0,58.77,0.0,0.0,0.0
73.61,11.0,62.77,0.0,0.0,0.0
73.81,20.0,60.77,0.0,0.0,0.0
74.02,7.0,63.77,0.0,0.0,0.0
74.23,12.0,64.77,0.0,0.0,0.0
74.44,19.0,59.77,0.0,0.0,0.0
74.65,19.0,58.77,0.0,0.0,0.0
74.87,11.0,60.77,0.0,0.0,0.0
75.07,19.0,64.77,0.0,0.0,0.0
75.28,13.0,59.77,0.0,0.0,0.0
75.49,14.0,63.77,0.0,0.0,0.0
75.7,6.0,63.77,0.0,0.0,0.0
75.92,13.0,63.77,0.0,0.0,0.0
76.12,5.0,64.77,0.0,0.0,0.0
76.34,10.0,64.77,0.0,0.0,0.0
76.54,15.0,66.77,0.0,0.0,0.0
76.76,11.0,58.77,0.0,0.0,0.0
76.97,15.0,68.77,0.0,0.0,0.0
77.17,14.0,59.77,0.0,0.0,0.0
77.39,15.0,68.77,0.0,0.0,0.0
77.59,10.0,58.77,0.0,0.0,0.0
77.81,19.0,64.77,0.0,0.0,0.0
78.01,15.0,60.77,0.0,0.0,0.0
78.22,20.0,68.77,0.0,0.0,0.0
78.44,6.0,66.77,0.0,0.0,0.0
78.65,6.0,67.77,0.0,0.0,0.0
78.87,17.0,66.77,0.0,0.0,0.0
79.09,17.0,59.77,0.0,0.0,0.0
79.29,5.0,58.77,0.0,0.0,0.0
79.5,14.0,63.77,0.0,0.0,0.0
79.72,15.0,67.77,0.0,0.0,0.0
79.92,19.0,66.77,0.0,0.0,0.0
80.14,8.0,67.77,0.0,0.0,0.0
80.34,10.0,66.77,0.0,0.0,0.0
80.55,19.0,67.77,0.0,0.0,0.0
80.75,11.0,65.77,0.0,0.0,0.0
80.95,8.0,65.77,0.0,0.0,0.0
81.16,9.0,59.77,0.0,0.0,0.0
81.37,18.0,63.77,0.0,0.0,0.0
81.59,14.0,66.77,0.0,0.0,0.0
81.79,20.0,58.77,0.0,0.0,0.0
82.01,7.0,61.77,0.0,0.0,0.0
82.22,20.0,67.77,0.0,0.0,0.0
82.42,9.0,58.77,0.0,0.0,0.0
82.64,16.0,60.77,0.0,0.0,0.0
82.85,20.0,68.77,0.0,0.0,0.0
83.06,10.0,61.77,0.0,0.0,0.0
83.28,19.0,58.77,0.0,0.0,0.0
83.49,13.0,64.77,0.0,0.0,0.0
83.71,11.0,60.77,0.0,0.0,0.0
83.92,10.0,60.77,0.0,0.0,0.0
84.14,9.0,64.77,0.0,0.0,0.0
84.35,9.0,58.77,0.0,0.0,0.0
84.57,10.0,58.77,0.0,0.0,0.0
84.77,21.0,59.77,0.0,0.0,0.0
84.98,21.0,64.77,0.0,0.0,0.0
85.19,18.0,68.77,0.0,0.0,0.0
85.39,14.0,67.77,0.0,0.0,0.0
85.6,17.0,58.77,0.0,0.0,0.0
85.81,14.0,64.77,0.0,0.0,0.0
86.02,7.0,68.77,0.0,0.0,0.0
86.22,19.0,61.77,0.0,0.0,0.0
86.44,10.0,63.77,0.0,0.0,0.0
86.65,21.0,67.77,0.0,0.0,0.0
86.88,12.0,60.77,0.0,0.0,0.0
87.09,19.0,66.77,0.0,0.0,0.0
87.29,15.0,58.77,0.0,0.0,0.0
87.5,20.0,68.77,0.0,0.0,0.0
87.72,15.0,58.77,0.0,0.0,0.0
87.92,10.0,63.77,0.0,0.0,0.0
88.14,5.0,68.77,0.0,0.0,0.0
88.34,15.0,58.77,0.0,0.0,0.0
88.55,17.0,62.77,0.0,0.0,0.0
88.77,18.0,68.77,0.0,0.0,0.0
88.99,9.0,66.77,0.0,0.0,0.0
89.19,9.0,62.77,0.0,0.0,0.0
89.41,17.0,64.77,0.0,0.0,0.0
89.62,7.0,68.77,0.0,0.0,0.0
89.82,10.0,59.77,0.0,0.0,0.0
90.04,13.0,60.77,0.0,0.0,0.0
90.24,14.0,58.77,0.0,0.0,0.0
90.46,20.0,58.77,0.0,0.0,0.0
90.67,21.0,60.77,0.0,0.0,0.0
90.87,12.0,64.77,0.0,0.0,0.0
91.08,18.0,61.77,0.0,0.0,0.0
91.29,12.0,58.77,0.0,0.0,0.0
91.49,15.0,58.77,0.0,0.0,0.0
91.71,15.0,61.77,0.0,0.0,0.0
91.91,20.0,60.77,0.0,0.0,0.0
92.12,18.0,59.77,0.0,0.0,0.0
92.33,18.0,61.77,0.0,0.0,0.0
92.54,14.0,59.77,0.0,0.0,0.0
92.75,17.0,59.77,0.0,0.0,0.0
92.96,7.0,63.77,0.0,0.0,0.0
93.17,17.0,65.77,0.0,0.0,0.0
93.39,21.0,59.77,0.0,0.0,0.0
93.6,10.0,63.77,0.0,0.0,0.0
93.8,21.0,63.77,0.0,0.0,0.0
94.02,11.0,66.77,0.0,0.0,0.0
94.22,17.0,62.77,0.0,0.0,0.0
94.44,6.0,67.77,0.0,0.0,0.0
94.66,7.0,65.77,0.0,0.0,0.0
94.86,16.0,63.77,0.0,0.0,0.0
95.06,6.0,58.77,0.0,0.0,0.0
95.27,13.0,62.77,0.0,0.0,0.0
95.48,15.0,66.77,0.0,0.0,0.0
95.69,11.0,62.77,0.0,0.0,0.0
95.89,10.0,68.77,0.0,0.0,0.0
96.1,5.0,61.77,0.0,0.0,0.0
96.3,19.0,62.77,0.0,0.0,0.0
96.51,7.0,65.77,0.0,0.0,0.0
96.72,18.0,58.77,0.0,0.0,0.0
96.93,16.0,60.77,0.0,0.0,0.0
97.14,17.0,68.77,0.0,0.0,0.0
97.35,8.0,63.77,0.0,0.0,0.0
97.56,6.0,64.77,0.0,0.0,0.0
97.77,19.0,65.77,0.0,0.0,0.0
97.99,11.0,64.77,0.0,0.0,0.0
98.2,8.0,66.77,0.0,0.0,0.0
98.42,7.0,68.77,0.0,0.0,0.0
98.62,11.0,58.77,0.0,0.0,0.0
98.84,18.0,64.77,0.0,0.0,0.0
99.05,20.0,63.77,0.0,0.0,0.0
99.25,19.0,61.77,0.0,0.0,0.0
99.47,8.0,62.77,0.0,0.0,0.0
99.67,20.0,66.77,0.0,0.0,0.0
99.89,18.0,62.77,0.0,0.0,0.0
100.1,15.0,63.77,0.0,0.0,0.0
100.32,11.0,67.77,0.0,0.0,0.0
100.54,10.0,68.77,0.0,0.0,0.0
0.2,16.0,67.77,0.0,0.0,0.0
0.41,8.0,60.77,0.0,0.0,0.0
0.62,7.0,58.77,0.0,0.0,0.0
0.83,5.0,60.77,0.0,0.0,0.0
1.04,15.0,63.77,0.0,0.0,0.0
1.24,10.0,59.77,0.0,0.0,0.0
1.46,21.0,62.77,0.0,0.0,0.0
1.67,7.0,68.77,0.0,0.0,0.0
1.88,10.0,58.77,0.0,0.0,0.0
2.09,11.0,62.77,0.0,0.0,0.0
2.29,21.0,68.77,0.0,0.0,0.0
2.51,17.0,58.77,0.0,0.0,0.0
2.71,18.0,63.77,0.0,0.0,0.0
2.91,19.0,61.77,0.0,0.0,0.0
3.12,21.0,65.77,0.0,0.0,0.0
3.33,18.0,67.77,0.0,0.0,0.0
3.54,19.0,67.77,0.0,0.0,0.0
3.74,6.0,58.77,0.0,0.0,0.0
3.95,8.0,63.77,0.0,0.0,0.0
4.16,5.0,68.77,0.0,0.0,0.0
4.37,14.0,64.77,0.0,0.0,0.0
4.57,14.0,68.77,0.0,0.0,0.0
4.78,21.0,59.77,0.0,0.0,0.0
4.99,12.0,64.77,0.0,0.0,0.0
5.19,14.0,62.77,0.0,0.0,0.0
5.4,7.0,67.77,0.0,0.0,0.0
5.62,17.0,68.77,0.0,0.0,0.0
5.82,5.0,64.77,0.0,0.0,0.0
6.04,12.0,68.77,0.0,0.0,0.0
6.25,20.0,63.77,0.0,0.0,0.0
6.46,20.0,61.77,0.0,0.0,0.0
6.67,9.0,63.77,0.0,0.0,0.0
6.87,14.0,68.77,0.0,0.0,0.0
7.07,15.0,64.77,0.0,0.0,0.0
7.28,13.0,65.77,0.0,0.0,0.0
7.49,12.0,58.77,0.0,0.0,0.0
7.69,14.0,64.77,0.0,0.0,0.0
7.91,7.0,62.77,0.0,0.0,0.0
8.12,6.0,64.77,0.0,0.0,0.0
8.33,5.0,61.77,0.0,0.0,0.0
8.55,15.0,67.77,0.0,0.0,0.0
8.76,6.0,64.77,0.0,0.0,0.0
8.97,12.0,60.77,0.0,0.0,0.0
9.17,18.0,60.77,0.0,0.0,0.0
9.37,19.0,67.77,0.0,0.0,0.0
9.59,13.0,66.77,0.0,0.0,0.0
9.8,6.0,63.77,0.0,0.0,0.0
10.01,18.0,67.77,0.0,0.0,0.0
10.22,11.0,65.77,0.0,0.0,0.0
10.42,15.0,63.77,0.0,0.0,0.0
10.63,5.0,58.77,0.0,0.0,0.0
10.83,13.0,66.77,0.0,0.0,0.0
11.04,8.0,63.77,0.0,0.0,0.0
11.25,9.0,66.77,0.0,0.0,0.0
11.45,11.0,65.77,0.0,0.0,0.0
11.66,6.0,58.77,0.0,0.0,0.0
11.86,6.0,59.77,0.0,0.0,0.0
12.07,21.0,67.77,0.0,0.0,0.0
12.27,19.0,61.77,0.0,0.0,0.0
12.48,17.0,67.77,0.0,0.0,0.0
12.69,7.0,61.77,0.0,0.0,0.0
12.89,18.0,60.77,0.0,0.0,0.0
13.11,20.0,65.77,0.0,0.0,0.0
13.32,10.0,68.77,0.0,0.0,0.0
13.53,20.0,61.77,0.0,0.0,0.0
13.73,15.0,66.77,0.0,0.0,0.0
13.95,17.0,63.77,0.0,0.0,0.0
14.16,16.0,61.77,0.0,0.0,0.0
14.38,8.0,64.77,0.0,0.0,0.0
14.6,16.0,68.77,0.0,0.0,0.0
14.8,12.0,67.77,0.0,0.0,0.0
15.02,9.0,64.77,0.0,0.0,0.0
15.23,17.0,66.77,0.0,0.0,0.0
15.43,14.0,59.77,0.0,0.0,0.0
15.65,16.0,58.77,0.0,0.0,0.0
15.86,16.0,62.77,0.0,0.0,0.0
16.06,21.0,63.77,0.0,0.0,0.0
16.28,17.0,64.77,0.0,0.0,0.0
16.48,20.0,66.77,0.0,0.0,0.0
16.68,21.0,63.77,0.0,0.0,0.0
16.9,16.0,61.77,0.0,0.0,0.0
17.11,19.0,63.77,0.0,0.0,0.0
17.32,8.0,59.77,0.0,0.0,0.0
17.53,14.0,64.77,0.0,0.0,0.0
17.75,21.0,68.77,0.0,0.0,0.0
17.96,7.0,58.77,0.0,0.0,0.0
18.16,7.0,63.77,0.0,0.0,0.0
18.38,5.0,67.77,0.0,0.0,0.0
18.58,17.0,67.77,0.0,0.0,0.0
18.8,18.0,67.77,0.0,0.0,0.0
19.01,18.0,59.77,0.0,0.0,0.0
19.22,8.0,68.77,0.0,0.0,0.0
19.43,21.0,61.77,0.0,0.0,0.0
19.64,21.0,67.77,0.0,0.0,0.0
19.85,20.0,67.77,0.0,0.0,0.0
